code|1,code|1|type,description,hospital_name,hospital_city,hospital_state,med_min,med_max
100,EAPG,ANESTH SALIVARY GLAND,The Cleveland Clinic Foundation,Cleveland,OH,198.95,230.36
100,MS-DRG,SEIZURES W MCC,The Cleveland Clinic Foundation,Cleveland,OH,16244.0,61700.0
100,MS-DRG,SEIZURES WITH MCC,The Cleveland Clinic Foundation,Cleveland,OH,16244.0,61700.0
100,MS-DRG,SEIZURES WITH MCC,The Mount Sinai Hospital,New York,NY,12270.2,73835.88
100,MS-DRG,SEIZURES WITH MCC,The Trustees of the University of Pennsylvania D/B/A The Hospital of the University of Pennsylvania,Philadelphia,PA,544.94,57389.67
100,MS-DRG,Seizures With McC,Mayo Clinic,Phoenix,AZ,13463.53,50766.31
100,MS-DRG,Seizures With Mcc,Johns Hopkins Howard County Medical Center,Columbia,MD,3370.86,37840.91
100,MS-DRG,Seizures With Mcc,The Johns Hopkins Hospital,Baltimore,MD,8705.32,356030.14
100,MS-DRG,Seizures w/MCC,The Cleveland Clinic Foundation,Cleveland,OH,16244.0,61700.0
101,MS-DRG,SEIZURES W/O MCC,The Cleveland Clinic Foundation,Cleveland,OH,8723.21,33500.0
101,MS-DRG,SEIZURES WITHOUT MCC,The Cleveland Clinic Foundation,Cleveland,OH,8723.21,33500.0
101,MS-DRG,SEIZURES WITHOUT MCC,The Mount Sinai Hospital,New York,NY,5629.75,33876.98
101,MS-DRG,SEIZURES WITHOUT MCC,The Trustees of the University of Pennsylvania D/B/A The Hospital of the University of Pennsylvania,Philadelphia,PA,544.94,51472.0
101,MS-DRG,Seizures Without McC,Mayo Clinic,Phoenix,AZ,6177.26,32911.4
101,MS-DRG,Seizures Without Mcc,Johns Hopkins Howard County Medical Center,Columbia,MD,1624.38,15532.93
101,MS-DRG,Seizures Without Mcc,The Johns Hopkins Hospital,Baltimore,MD,1762.38,35627.94
101,MS-DRG,Seizures w/o MCC,The Cleveland Clinic Foundation,Cleveland,OH,8723.21,33500.0
103,EAPG,ANESTH BLEPHAROPLASTY,The Cleveland Clinic Foundation,Cleveland,OH,198.95,230.36
